Tiempo (s),Temperatura (°C)
0.00,21.75
0.20,21.75
0.41,21.50
0.61,21.75
0.82,21.25
1.02,21.50
1.22,21.50
1.43,21.50
1.63,21.50
1.83,21.50
2.05,21.50
2.26,21.50
2.47,21.50
2.67,21.75
2.87,21.50
3.08,21.50
3.28,21.50
3.48,21.50
3.68,21.50
3.89,21.50
4.09,20.50
4.29,21.00
4.50,21.50
4.70,21.50
4.90,21.50
5.10,21.50
5.31,21.50
5.51,21.25
5.71,21.50
5.91,21.50
6.12,21.75
6.32,21.00
6.52,21.50
6.72,21.00
6.94,21.75
7.14,21.50
7.34,21.25
7.56,21.50
7.76,21.00
7.97,21.50
8.17,21.25
8.37,21.50
8.58,21.25
8.78,21.50
8.98,21.50
9.18,21.50
9.39,21.50
9.59,21.50
9.79,21.50
9.99,21.50
10.20,21.50
10.41,21.75
10.61,21.75
10.83,21.00
11.03,21.00
11.24,20.75
11.44,21.75
11.64,21.75
11.84,21.25
12.05,20.50
12.25,21.00
12.45,21.50
12.65,21.50
12.86,21.25
13.06,21.25
13.26,21.50
13.46,21.50
13.67,21.00
13.87,21.25
14.07,21.25
14.27,21.25
14.48,21.50
14.68,21.50
14.88,21.25
15.08,21.50
15.29,21.50
15.49,21.25
15.69,21.50
15.89,21.50
16.10,21.50
16.30,21.00
16.50,21.25
16.71,21.25
16.91,21.50
17.11,21.75
17.32,21.25
17.52,21.00
17.72,21.25
17.92,21.25
18.13,21.25
18.34,21.50
18.54,21.25
18.75,21.25
18.95,21.25
19.15,21.50
19.35,21.75
19.56,21.00
19.76,21.75
19.96,21.00
20.16,21.25
20.36,21.25
20.56,21.25
20.76,21.25
20.97,21.50
21.17,21.25
21.37,21.25
21.58,21.50
21.78,21.50
21.98,21.25
22.19,21.25
22.39,21.25
22.59,21.50
22.81,21.25
23.01,21.25
23.21,21.25
23.43,21.25
23.64,21.00
23.84,21.50
24.05,21.00
24.26,21.25
24.47,21.00
24.67,21.00
24.89,21.50
25.09,21.25
25.29,21.50
25.49,21.00
25.69,21.50
25.90,21.25
26.10,21.25
26.30,21.25
26.51,21.25
26.71,21.00
26.91,21.25
27.12,20.75
27.32,21.25
27.52,21.25
27.73,21.00
27.93,21.50
28.13,21.00
28.33,21.50
28.53,21.25
28.74,21.50
28.94,21.00
29.14,21.25
29.35,21.25
29.55,21.25
29.76,21.25
29.97,21.25
30.17,21.25
30.37,21.25
30.58,21.25
30.78,21.25
30.98,21.25
31.20,21.00
31.40,21.25
31.60,21.50
31.80,21.50
32.01,21.50
32.21,21.25
32.42,21.25
32.62,21.00
32.82,21.50
33.03,21.50
33.23,21.25
33.45,21.50
33.65,21.00
33.85,20.75
34.06,21.00
34.26,21.50
34.46,21.00
34.66,21.00
34.87,20.75
35.07,20.75
35.27,21.25
35.47,21.25
35.68,21.25
35.88,21.50
36.08,21.50
36.28,21.50
36.49,21.25
36.69,20.75
36.90,20.75
37.10,21.00
37.30,21.25
37.51,21.50
37.72,21.00
37.92,21.25
38.12,21.25
38.33,21.25
38.53,21.25
38.73,21.50
38.95,20.75
39.15,21.00
39.35,21.00
39.56,21.50
39.76,20.75
39.96,21.25
40.17,21.25
40.37,20.75
40.58,21.50
40.78,21.50
40.99,21.50
41.19,21.25
41.40,21.00
41.60,21.00
41.80,21.50
42.01,21.00
42.21,21.25
42.41,21.25
42.61,21.25
42.82,21.00
43.02,21.00
43.22,21.25
43.43,21.25
43.63,21.50
43.83,21.25
44.04,20.75
44.24,21.25
44.44,21.50
44.64,21.50
44.85,21.25
45.05,21.25
45.25,21.50
45.46,21.00
45.66,21.25
45.86,21.00
46.07,21.25
46.27,21.25
46.48,21.00
46.68,21.00
46.89,20.75
47.09,21.00
47.29,21.25
47.50,21.00
47.70,21.25
47.91,21.50
48.11,21.25
48.31,21.25
48.51,21.00
48.71,20.75
48.92,21.00
49.12,21.25
49.32,21.25
49.53,20.75
49.73,20.75
49.93,21.00
50.13,21.25
50.33,21.00
50.54,21.25
50.74,21.25
50.94,21.50
51.16,21.50
51.36,20.25
51.56,21.25
51.76,21.25
51.97,21.00
52.17,21.25
52.37,20.75
52.58,21.25
52.78,21.25
52.99,20.50
53.19,21.00
53.39,21.50
53.60,20.75
53.80,21.25
54.00,20.50
54.21,21.25
54.41,21.25
54.61,20.75
54.82,21.50
55.02,21.25
55.22,21.25
55.42,21.25
55.63,21.25
55.83,21.25
56.04,21.25
56.24,21.25
56.45,21.25
56.65,21.00
56.85,20.75
57.05,21.25
57.26,21.00
57.46,21.00
57.66,20.75
57.86,21.25
58.08,21.25
58.28,21.50
58.49,21.25
58.69,21.00
58.89,21.25
59.10,21.25
59.30,21.25
59.50,21.25
59.70,21.25
59.91,21.50
60.11,21.50
60.31,21.25
60.51,21.25
60.72,21.25
60.92,21.25
61.12,21.00
61.33,21.25
61.53,21.25
61.73,21.00
61.95,21.25
62.15,21.25
62.35,21.25
62.56,21.25
62.76,21.00
62.96,21.25
63.17,21.25
63.37,21.25
63.57,21.25
63.78,21.25
63.98,21.25
64.18,21.25
64.39,21.25
64.59,21.25
64.79,21.25
64.99,21.00
65.20,21.25
65.40,21.25
65.60,21.25
65.80,20.75
66.01,21.00
66.21,21.00
66.41,21.00
66.62,21.25
66.82,21.25
67.02,21.25
67.22,21.00
67.43,21.25
67.63,21.25
67.83,21.25
68.04,21.25
68.24,21.25
68.44,21.25
68.65,21.25
68.85,21.00
69.05,21.00
69.25,21.25
69.46,21.25
69.66,21.00
69.86,21.25
70.07,21.25
70.27,21.00
70.47,21.25
70.68,20.75
70.88,21.00
71.08,21.25
71.28,21.25
71.49,21.00
71.69,21.25
71.89,20.75
72.09,21.25
72.30,21.25
72.50,20.75
72.70,21.50
72.91,21.25
73.11,21.00
73.32,21.25
73.52,21.00
73.73,21.00
73.93,21.00
74.13,20.75
74.34,21.25
74.54,21.25
74.74,21.25
74.95,21.25
75.15,21.25
75.35,20.75
75.56,21.50
75.76,21.25
75.96,21.25
76.17,21.50
76.37,20.50
76.57,20.75
76.78,20.75
76.99,21.00
77.20,20.50
77.40,21.00
77.60,21.00
77.80,21.25
78.01,21.00
78.21,21.00
78.42,21.25
78.62,21.25
78.82,20.75
79.02,21.25
79.23,20.75
79.44,21.25
79.64,21.25
79.84,20.75
80.04,21.25
80.24,20.75
