Tiempo (s),Temperatura (°C)
0.00,21.25
0.20,21.25
0.41,20.50
0.61,20.75
0.81,20.50
1.02,20.75
1.22,20.75
1.42,20.75
1.63,20.75
1.83,20.75
2.03,20.75
2.23,20.75
2.44,21.00
2.64,20.75
2.84,20.75
3.05,20.75
3.25,20.75
3.45,20.75
3.66,20.75
3.86,20.75
4.06,21.00
4.27,20.75
4.47,20.75
4.68,20.75
4.88,20.75
5.08,20.75
5.28,20.75
5.48,20.75
5.69,20.75
5.89,20.75
6.09,21.25
6.29,20.50
6.49,20.50
6.70,20.75
6.90,20.75
7.10,20.75
7.30,20.75
7.51,20.75
7.71,20.75
7.92,21.00
8.12,21.00
8.32,20.75
8.54,20.50
8.74,20.75
8.94,21.00
9.14,20.75
9.35,20.75
9.56,20.75
9.77,20.75
9.97,20.75
10.17,21.00
10.38,20.50
10.59,20.75
10.79,20.75
11.00,20.75
11.20,20.75
11.40,21.00
11.61,20.50
11.81,20.50
12.02,20.50
12.22,20.75
12.42,20.75
12.63,20.75
12.83,20.75
13.03,21.00
13.24,20.50
13.44,20.25
13.64,20.75
13.84,20.75
14.05,20.75
14.25,20.75
14.45,20.75
14.67,20.75
14.87,21.00
15.07,20.75
15.28,21.00
15.48,21.00
15.68,20.75
15.89,20.75
16.09,20.50
16.31,20.25
16.51,21.00
16.71,20.75
16.91,20.50
17.12,20.25
17.32,20.75
17.53,20.50
17.74,21.00
17.94,20.50
18.14,20.25
18.35,20.75
18.55,20.75
18.75,21.00
18.96,20.75
19.16,20.75
19.36,21.00
19.58,20.75
19.78,20.75
19.98,20.75
20.18,20.75
20.39,20.50
20.59,20.75
20.79,20.75
21.00,20.50
21.21,20.75
21.42,20.75
21.62,20.75
21.82,20.75
22.02,20.25
22.23,20.75
22.43,21.00
22.63,20.25
22.83,20.75
23.04,21.00
23.24,20.75
23.44,20.50
23.65,20.75
23.85,20.50
24.05,21.25
24.25,20.75
24.46,20.75
24.66,20.75
24.86,20.75
25.08,20.50
25.28,20.25
25.48,21.00
25.69,20.75
25.89,20.75
26.09,21.00
26.29,20.75
26.50,20.75
26.70,20.75
26.90,20.50
27.10,20.50
27.31,21.00
27.51,20.75
27.71,21.00
27.93,20.25
28.13,20.50
28.34,20.25
28.55,20.50
28.76,20.50
28.97,20.75
29.17,20.75
29.37,20.75
29.57,20.50
29.77,20.50
29.98,20.75
30.18,20.75
30.39,20.75
30.60,21.00
30.80,20.50
31.00,20.25
31.22,21.00
31.42,20.50
31.62,20.75
31.82,20.75
32.03,20.75
32.23,21.00
32.45,21.00
32.65,20.75
32.85,20.25
33.06,20.75
33.27,20.75
33.47,21.00
33.67,20.75
33.88,20.50
34.08,21.00
34.28,21.25
34.50,20.25
34.70,20.50
34.91,20.75
35.11,20.25
35.31,20.75
35.51,20.75
35.72,21.00
35.92,20.50
36.12,21.00
36.32,20.25
36.52,20.75
36.73,20.75
36.94,20.50
37.15,21.00
37.35,20.75
37.55,20.75
37.75,20.75
37.96,20.50
38.16,20.25
38.36,20.50
38.56,20.50
38.77,21.00
38.97,21.00
39.18,20.75
39.38,20.75
39.58,21.00
39.78,20.50
39.98,20.50
40.19,20.75
40.39,21.00
40.59,20.25
40.79,20.75
41.00,20.75
41.20,20.50
41.40,20.50
41.62,21.00
41.82,20.75
42.02,21.00
42.22,20.75
42.43,20.75
42.63,21.00
42.83,20.50
43.03,21.00
43.23,20.00
43.45,21.00
43.67,20.50
43.87,20.50
44.08,20.50
44.28,20.25
44.48,21.00
44.70,20.75
44.90,20.00
45.11,20.50
45.31,20.75
45.51,20.50
45.71,20.50
45.93,20.25
46.13,20.50
46.33,20.25
46.54,20.50
46.74,21.00
46.94,21.00
47.15,21.00
47.36,20.25
47.57,21.00
47.77,20.75
47.97,20.75
48.17,20.50
48.37,20.75
48.58,21.00
48.78,20.75
48.98,20.50
49.18,21.00
49.39,20.75
49.59,20.75
49.81,20.50
50.01,20.25
50.22,21.00
50.43,20.50
50.63,20.50
50.83,20.75
51.03,20.50
51.24,20.50
51.44,21.00
51.64,21.00
51.84,20.50
52.05,21.00
52.25,20.50
52.45,21.00
52.66,21.00
52.86,21.00
53.06,21.25
53.27,21.00
53.47,20.75
53.67,21.00
53.88,20.00
54.08,20.50
54.28,20.75
54.48,20.75
54.69,21.00
54.89,20.75
55.09,20.75
55.29,20.75
55.49,21.00
55.70,21.00
55.90,20.75
56.12,20.50
56.32,20.75
56.54,20.75
56.74,20.25
56.95,20.50
57.16,20.25
57.36,20.50
57.56,20.50
57.76,20.50
57.96,20.50
58.17,20.50
58.37,20.25
58.57,21.00
58.77,20.50
58.98,20.75
59.18,20.75
