Tiempo (s),Temperatura (°C)
0.00,19.75
0.21,19.75
0.42,20.00
0.62,20.00
0.83,20.75
1.04,20.50
1.24,20.25
1.45,20.25
1.66,20.50
1.86,20.50
2.07,20.50
2.28,20.00
2.49,19.75
2.69,20.50
2.90,20.25
3.11,20.50
3.32,20.50
3.53,20.50
3.74,20.25
3.95,20.00
4.15,20.50
4.36,19.50
4.57,20.00
4.77,20.00
4.98,20.50
5.19,20.00
5.39,19.75
5.60,20.25
5.81,20.50
6.01,20.50
6.22,20.50
6.43,20.25
6.64,20.00
6.85,20.25
7.05,19.50
7.26,20.25
7.47,20.50
7.68,20.00
7.88,20.50
8.09,20.50
8.29,20.50
8.50,20.00
8.71,20.50
8.92,20.50
9.12,20.50
9.33,20.50
9.54,20.50
9.74,20.25
9.95,20.50
10.16,20.50
10.37,20.00
10.57,20.50
10.78,20.50
10.99,20.50
11.20,20.50
11.40,20.50
11.61,20.50
11.82,20.25
12.02,20.50
12.23,20.50
12.44,20.00
12.64,20.25
12.85,20.50
13.06,20.50
13.26,20.50
13.47,20.50
13.68,20.75
13.88,20.25
14.09,20.00
14.30,20.50
14.51,20.50
14.71,20.50
14.92,20.50
15.13,20.50
15.33,20.00
15.54,20.00
15.75,20.25
15.95,20.25
16.16,20.50
16.37,20.75
16.58,20.50
16.78,20.25
16.99,20.50
17.20,20.50
17.40,20.50
17.61,20.50
17.82,20.50
18.03,20.25
18.23,20.25
18.44,20.50
18.65,20.50
18.85,20.50
19.06,20.50
19.27,20.25
19.48,20.25
19.68,20.50
19.89,20.25
20.10,20.50
20.30,20.50
20.51,20.50
20.72,20.50
20.93,19.75
21.14,20.50
21.34,20.50
21.55,20.75
21.76,20.50
21.96,20.50
22.17,20.50
22.38,20.25
22.59,20.75
22.79,20.25
23.00,20.25
23.21,20.50
23.42,20.50
23.62,20.50
23.83,20.50
24.04,20.25
24.25,20.50
24.45,20.50
24.66,20.50
24.87,20.25
25.07,20.75
25.28,20.50
25.49,20.50
25.70,20.25
25.90,20.25
26.11,20.50
26.32,20.00
26.52,20.50
26.73,20.50
26.94,20.50
27.15,20.50
27.35,20.50
27.56,20.50
27.77,20.25
27.97,20.50
28.18,19.75
28.39,20.50
28.60,20.25
28.80,20.50
29.01,20.00
29.22,20.50
29.42,20.50
29.63,20.50
29.84,20.50
30.05,20.50
30.25,20.50
30.46,20.50
30.67,20.50
30.88,20.50
31.08,20.50
31.29,20.25
31.50,20.50
31.70,20.25
31.91,20.00
32.12,20.25
32.33,20.25
32.53,20.50
32.74,20.50
32.95,20.50
33.16,20.50
33.36,20.25
33.57,20.25
33.78,20.50
33.98,20.50
34.19,20.50
34.40,20.50
34.61,20.50
34.81,20.00
35.02,20.25
35.23,20.50
35.44,20.50
35.64,20.50
35.85,20.75
36.06,20.50
36.26,20.50
36.47,20.50
36.68,20.50
36.89,20.75
37.10,20.50
37.30,20.50
37.51,20.25
37.72,20.50
37.92,20.25
38.13,20.25
38.34,20.25
38.55,20.50
