Tiempo,Temperatura
0.00,76.25
0.20,76.25
0.41,75.50
0.61,75.75
0.81,75.50
1.02,75.75
1.22,76.00
1.43,76.00
1.63,75.50
1.83,76.00
2.04,76.00
2.24,75.50
2.44,75.25
2.65,75.75
2.85,75.75
3.06,75.25
3.26,76.00
3.46,75.75
3.67,75.75
3.87,75.75
4.07,75.25
4.28,75.75
4.48,75.75
4.68,75.00
4.89,75.00
5.09,75.50
5.30,75.50
5.50,75.50
5.71,75.50
5.91,76.00
6.11,75.50
6.32,75.50
6.52,75.75
6.73,75.50
6.93,75.25
7.13,75.25
7.34,75.75
7.54,75.75
7.74,75.75
7.95,75.25
8.15,76.00
8.36,75.50
8.56,75.50
8.77,75.50
8.97,75.50
9.17,75.25
9.38,75.50
9.58,75.75
9.79,75.25
9.99,75.75
10.19,75.00
10.40,75.75
10.60,75.00
10.81,75.75
11.01,75.25
11.21,75.50
11.42,75.50
11.62,74.75
11.82,75.50
12.02,75.25
12.23,75.25
12.43,75.25
12.63,75.50
12.84,75.50
13.04,75.25
13.24,75.25
13.45,75.00
13.65,75.50
13.87,75.25
14.07,75.50
14.28,75.25
14.48,75.50
14.69,75.25
14.89,74.75
15.09,75.50
15.30,75.00
15.50,75.25
15.70,75.50
15.91,75.00
16.11,75.25
16.32,75.25
16.52,75.50
16.72,75.25
16.93,75.25
17.13,74.75
17.33,75.50
17.54,75.50
17.74,75.25
17.95,75.25
18.15,75.25
18.35,75.50
18.56,75.25
18.76,75.00
18.96,75.50
19.17,75.25
19.37,74.75
19.57,75.25
19.78,75.25
19.98,74.75
20.19,75.00
20.39,75.25
20.59,75.00
20.80,75.25
21.00,75.00
21.20,75.25
21.40,75.00
21.61,75.25
21.81,75.25
22.02,75.50
22.22,75.25
22.42,75.25
22.62,75.25
22.83,75.25
23.03,75.25
23.23,75.25
23.43,75.00
23.64,75.00
23.84,75.00
24.05,75.00
24.25,75.25
24.45,75.25
24.66,75.25
24.86,75.25
25.07,75.00
25.27,75.00
25.48,74.75
25.69,75.00
25.89,75.00
26.10,74.50
26.30,75.25
26.50,75.25
26.71,75.25
26.91,75.25
27.12,75.00
27.32,75.00
27.52,75.00
27.73,75.00
27.94,75.00
28.15,74.75
28.37,75.00
28.57,75.00
28.77,75.00
28.98,75.00
29.18,75.00
29.39,75.00
29.59,75.00
29.79,74.50
30.00,75.00
30.20,75.00
30.40,75.00
30.60,74.75
30.81,74.75
31.01,74.75
31.22,74.75
31.42,74.75
31.63,74.75
31.83,75.00
32.03,75.00
32.23,75.00
32.44,74.75
32.64,75.00
32.85,74.50
33.05,74.50
33.25,75.00
33.46,75.00
33.66,74.75
33.87,74.75
34.07,74.50
34.27,74.75
34.47,75.00
34.68,75.00
34.89,75.00
35.09,74.75
35.29,74.75
35.55,74.75
