Tiempo (s),Temperatura (°C),Estado Servo
0.08,20.25,Abierto
0.16,20.25,Abierto
0.34,20.00,Abierto
0.54,20.50,Abierto
0.75,20.25,Abierto
0.94,20.25,Abierto
1.15,20.00,Abierto
1.36,20.50,Abierto
1.55,20.50,Abierto
1.76,20.50,Abierto
1.97,20.50,Abierto
2.16,20.25,Cerrado
2.37,20.50,Cerrado
2.58,20.25,Cerrado
2.77,20.50,Cerrado
2.98,20.25,Cerrado
3.18,20.50,Cerrado
3.38,20.25,Cerrado
3.58,20.25,Cerrado
3.79,20.00,Cerrado
4.00,20.25,Cerrado
4.19,20.50,Abierto
4.40,20.25,Abierto
4.61,20.25,Abierto
4.80,20.25,Abierto
5.01,20.25,Abierto
5.21,19.75,Abierto
5.41,20.00,Abierto
5.61,20.50,Abierto
5.82,20.25,Abierto
6.03,20.50,Abierto
6.22,20.25,Cerrado
6.43,20.25,Cerrado
6.64,20.25,Cerrado
6.83,20.00,Cerrado
7.04,20.25,Cerrado
7.25,20.25,Cerrado
7.44,20.00,Cerrado
7.65,20.50,Cerrado
7.85,20.25,Cerrado
8.05,20.25,Cerrado
8.25,20.00,Abierto
8.46,20.25,Abierto
8.65,20.00,Abierto
8.86,20.25,Abierto
9.07,20.50,Abierto
9.26,20.25,Abierto
9.47,20.00,Abierto
9.68,20.25,Abierto
9.88,20.25,Abierto
10.09,20.50,Abierto
10.28,20.50,Cerrado
10.49,20.50,Cerrado
10.70,20.25,Cerrado
10.89,20.25,Cerrado
11.10,20.25,Cerrado
11.31,20.50,Cerrado
11.52,20.25,Cerrado
11.71,20.50,Cerrado
11.92,20.00,Cerrado
12.12,20.25,Cerrado
12.31,20.25,Abierto
12.52,20.00,Abierto
12.72,20.25,Abierto
12.94,20.00,Abierto
13.15,20.50,Abierto
13.34,20.00,Abierto
13.55,19.75,Abierto
13.75,20.50,Abierto
13.96,20.00,Abierto
14.17,20.50,Abierto
14.38,20.25,Cerrado
14.57,20.75,Cerrado
14.78,20.25,Cerrado
14.99,20.25,Cerrado
15.19,19.75,Cerrado
15.40,20.25,Cerrado
15.59,20.25,Cerrado
15.80,20.50,Cerrado
16.01,20.25,Cerrado
16.20,19.50,Cerrado
16.41,20.00,Abierto
16.62,20.50,Abierto
16.81,19.75,Abierto
17.02,19.75,Abierto
17.23,20.50,Abierto
17.42,20.25,Abierto
17.63,20.50,Abierto
17.83,20.00,Abierto
18.04,20.50,Abierto
18.23,20.50,Abierto
18.44,20.00,Cerrado
18.65,20.25,Cerrado
18.86,20.50,Cerrado
19.06,20.50,Cerrado
19.26,20.25,Cerrado
19.46,20.25,Cerrado
19.67,20.50,Cerrado
19.86,20.00,Cerrado
20.07,20.50,Cerrado
20.28,20.00,Cerrado
20.47,20.50,Abierto
20.68,20.00,Abierto
20.89,20.25,Abierto
21.08,20.25,Abierto
21.29,20.00,Abierto
21.49,20.25,Abierto
21.69,20.25,Abierto
21.90,20.50,Abierto
22.10,20.00,Abierto
22.31,19.75,Abierto
22.50,20.00,Cerrado
22.71,20.25,Cerrado
22.92,20.25,Cerrado
23.13,20.00,Cerrado
23.32,20.50,Cerrado
23.53,20.25,Cerrado
23.73,20.00,Cerrado
23.93,20.50,Cerrado
24.13,20.50,Cerrado
24.34,19.75,Cerrado
24.53,20.25,Abierto
24.74,20.00,Abierto
24.95,20.25,Abierto
25.14,20.25,Abierto
25.35,20.50,Abierto
25.56,19.75,Abierto
25.75,20.50,Abierto
25.96,20.00,Abierto
26.16,20.25,Abierto
26.37,20.50,Abierto
26.56,20.50,Cerrado
26.77,20.25,Cerrado
26.98,20.25,Cerrado
27.17,20.50,Cerrado
27.38,20.25,Cerrado
27.59,20.25,Cerrado
27.78,20.50,Cerrado
27.99,20.50,Cerrado
28.20,20.50,Cerrado
28.40,20.25,Cerrado
28.60,20.25,Abierto
28.80,20.25,Abierto
29.01,20.00,Abierto
29.20,20.50,Abierto
29.41,20.50,Abierto
29.62,19.75,Abierto
29.81,20.25,Abierto
30.02,20.25,Abierto
30.23,20.50,Abierto
30.42,19.75,Abierto
30.63,19.75,Cerrado
30.83,20.25,Cerrado
31.03,20.25,Cerrado
31.24,20.00,Cerrado
31.44,20.00,Cerrado
31.65,20.00,Cerrado
31.84,20.50,Cerrado
