Tiempo,Temperatura
0.00,20.25
0.20,20.25
0.41,20.25
0.61,20.25
0.82,20.25
1.02,20.25
1.23,20.25
1.43,20.25
1.64,20.25
1.85,20.25
2.05,20.00
2.25,20.50
2.46,20.00
2.66,19.75
2.86,20.25
3.07,20.00
3.27,20.00
3.48,19.75
3.68,20.00
3.89,20.00
4.09,20.25
4.30,20.00
4.50,19.50
4.70,20.25
4.91,20.25
5.11,20.25
5.32,20.25
5.52,20.25
5.73,20.25
5.93,20.00
6.13,20.25
6.34,20.25
6.54,20.25
6.75,20.00
6.95,20.25
7.15,20.25
7.36,19.75
7.57,20.25
7.78,20.25
7.98,20.25
8.18,20.25
8.39,20.25
8.59,20.25
8.79,20.25
8.99,20.00
9.20,20.25
9.40,20.25
9.61,20.25
9.81,20.25
10.02,20.25
10.22,20.00
10.42,20.25
10.62,19.75
10.83,20.25
11.03,20.00
11.23,20.25
11.44,20.25
11.64,20.25
11.84,20.25
12.05,20.00
12.25,20.25
12.46,19.75
12.66,20.50
12.87,20.50
13.07,20.25
13.28,20.25
13.48,19.50
13.69,20.25
13.89,20.00
14.10,20.00
14.30,20.25
14.51,20.50
14.71,20.00
14.91,20.25
15.12,20.25
15.33,20.50
15.53,20.50
15.73,20.50
15.94,19.75
16.14,20.25
16.35,19.75
16.55,20.00
16.75,20.25
16.96,20.50
17.16,20.00
17.37,20.50
17.57,20.50
17.78,20.50
17.98,20.50
18.18,20.00
18.40,20.25
18.60,20.50
18.81,20.50
19.01,20.00
19.21,20.00
19.42,20.50
19.62,20.50
19.82,20.50
20.03,20.50
20.23,20.50
20.44,20.50
20.64,20.25
20.85,20.50
21.05,20.75
21.26,20.25
21.46,20.50
21.66,20.50
21.86,20.00
22.07,20.25
22.27,20.50
22.47,20.50
22.68,20.25
22.88,20.00
23.08,20.00
23.28,20.50
23.49,20.50
23.69,20.50
23.89,20.50
24.10,20.75
24.30,20.50
24.50,20.00
24.71,20.25
24.91,20.25
25.12,20.75
25.32,20.25
25.53,20.25
25.73,20.25
25.94,20.75
26.14,20.25
26.35,20.50
26.55,20.25
26.75,20.50
26.97,20.25
27.17,20.50
27.38,20.75
27.58,20.75
27.79,20.50
27.99,20.75
28.20,20.00
28.40,20.25
28.60,20.75
28.81,20.00
29.01,20.75
29.21,20.00
29.42,20.75
29.63,20.75
29.83,20.25
30.04,20.75
30.24,20.50
30.44,20.75
30.65,20.75
30.85,21.00
31.05,20.50
31.26,20.75
31.47,20.50
31.67,20.50
31.87,20.50
32.08,20.50
32.28,20.50
32.49,20.50
32.70,20.25
32.91,20.50
33.11,20.75
33.31,20.75
33.52,20.50
33.72,20.75
33.93,21.00
34.13,20.75
34.33,20.75
34.54,20.50
34.74,20.50
34.95,20.75
35.15,20.50
35.36,20.50
35.56,20.75
35.77,20.25
35.97,20.25
36.18,20.75
36.38,20.25
36.59,20.75
36.79,20.75
37.00,20.75
37.20,20.50
37.41,20.75
37.61,21.00
37.81,20.75
38.02,20.75
38.22,20.50
38.42,21.00
38.63,20.75
38.83,20.50
39.03,21.00
39.24,20.50
39.44,20.50
39.64,20.50
39.85,21.25
40.06,21.00
40.27,20.50
40.47,21.00
40.67,21.00
40.88,20.50
41.08,20.75
41.28,20.75
41.48,20.75
41.69,21.00
41.89,20.75
42.09,21.00
42.30,20.75
42.50,20.75
42.72,20.75
42.92,20.75
43.13,21.00
43.33,20.50
43.53,20.75
43.74,21.00
43.94,20.75
44.14,20.75
44.35,20.75
44.55,20.75
44.76,20.75
44.96,20.75
45.16,20.75
45.37,20.75
45.57,21.00
45.78,20.75
45.98,21.00
46.19,20.75
46.40,21.00
46.61,20.75
46.81,21.25
47.02,21.00
47.22,21.00
47.42,20.50
47.63,21.00
47.83,21.00
48.03,20.75
48.24,21.00
48.45,20.50
48.65,21.25
48.86,21.00
49.06,21.00
49.27,21.00
49.47,21.00
49.67,20.75
49.88,21.00
50.08,21.00
50.29,20.75
50.49,21.00
50.70,21.00
50.90,20.75
51.10,20.75
51.31,20.75
51.51,21.00
51.71,20.50
51.92,21.00
52.12,21.00
52.32,21.25
52.53,20.75
52.73,20.50
52.94,20.75
53.14,21.00
53.34,21.00
53.55,21.25
53.75,20.75
53.95,20.75
54.16,21.00
54.36,21.00
54.56,21.00
54.77,21.00
54.97,21.00
55.18,21.25
55.38,21.25
55.58,21.00
55.79,21.25
55.99,21.00
56.21,21.00
56.41,20.75
56.62,21.25
56.82,21.00
57.03,21.25
57.23,20.75
57.44,20.50
57.64,21.00
57.85,21.25
58.05,20.75
58.27,20.75
58.47,21.00
58.67,21.00
58.88,21.25
59.08,21.25
59.28,21.25
59.49,20.75
59.69,21.00
59.89,21.00
60.10,21.00
60.30,21.25
60.51,21.25
60.72,21.25
60.93,21.00
61.13,21.00
61.33,21.25
61.54,21.25
61.74,21.25
61.95,21.25
62.15,21.00
62.36,21.25
62.56,21.25
62.76,21.25
62.98,21.00
63.18,20.75
63.39,21.25
63.59,21.25
63.79,21.25
64.00,21.25
64.20,21.25
64.41,21.25
64.61,21.50
64.82,21.25
65.02,21.25
65.24,21.25
65.44,21.25
65.64,21.25
65.85,21.00
66.05,21.00
66.25,21.25
66.46,21.25
66.66,21.50
66.87,21.25
67.07,21.00
67.28,21.25
67.48,21.00
67.68,21.50
67.89,21.00
68.09,21.50
68.29,21.25
68.50,21.25
68.71,20.75
68.91,21.00
69.11,21.00
69.32,21.25
69.52,21.25
69.73,21.25
69.93,21.50
70.14,21.50
70.34,21.50
70.55,20.75
70.75,21.75
70.96,21.75
71.16,21.50
71.37,21.50
71.57,21.25
71.78,21.00
71.98,21.25
72.19,21.00
72.39,21.50
72.59,21.50
72.80,21.75
73.00,21.75
73.20,21.25
73.41,21.25
73.61,21.50
73.82,21.50
74.02,21.50
