Tiempo,Temperatura
0.00,20.50
0.21,20.50
0.42,21.00
0.62,21.00
0.83,21.00
1.03,21.00
1.24,21.00
1.44,20.75
1.64,21.00
1.85,21.25
2.05,20.75
2.25,20.75
2.46,21.00
2.67,21.00
2.87,21.00
3.07,21.00
3.28,21.00
3.48,20.75
3.68,21.00
3.89,21.00
4.09,21.25
4.29,21.00
4.50,21.00
4.70,20.75
4.91,21.00
5.11,21.25
5.31,21.00
5.51,21.25
5.72,21.00
5.93,20.75
6.13,21.00
6.33,21.00
6.53,21.00
6.74,21.00
6.94,21.00
7.15,21.00
7.35,21.00
7.56,20.75
7.76,21.00
7.96,21.00
8.17,21.00
8.37,21.00
8.58,21.00
8.79,21.00
8.99,21.00
9.20,21.00
9.40,20.75
9.60,20.75
9.81,21.00
10.01,20.00
10.21,21.00
10.41,20.75
10.62,21.00
10.82,20.75
11.03,21.50
11.23,21.25
11.43,21.00
11.64,21.25
11.84,21.00
12.04,21.00
12.24,20.75
12.45,21.00
12.65,21.00
12.85,20.75
13.06,20.75
13.26,20.75
13.47,21.25
13.67,21.00
13.87,21.00
14.08,21.00
14.28,21.00
14.48,20.50
14.69,21.25
14.89,20.75
15.11,21.25
15.31,21.00
15.51,21.25
15.71,21.25
15.92,21.00
16.12,21.25
16.32,21.00
16.53,21.00
16.73,21.00
16.93,21.00
17.14,21.00
17.34,21.00
17.54,20.75
17.74,21.00
17.95,21.00
18.15,20.50
18.35,21.00
18.56,21.00
18.76,21.00
18.96,21.00
19.16,21.00
19.38,21.00
19.58,21.00
19.79,20.50
19.99,21.00
20.20,21.00
20.40,21.00
20.60,20.75
20.81,21.00
21.02,20.75
21.22,20.75
21.43,21.00
21.63,21.00
21.84,21.00
22.04,21.00
22.24,20.75
22.45,20.75
22.65,20.75
22.85,21.00
23.06,20.50
23.26,21.00
23.46,21.00
23.66,21.00
23.87,21.00
24.07,20.75
24.27,21.00
24.47,20.75
24.67,21.25
24.88,21.00
25.08,20.75
25.28,20.75
25.49,21.00
25.69,20.75
25.89,20.50
26.09,20.00
26.30,21.00
26.50,20.50
26.70,21.00
26.90,21.00
27.11,21.00
27.32,21.00
27.52,21.00
27.72,21.00
27.93,21.00
28.13,21.00
28.33,21.00
28.54,20.75
28.74,20.75
28.95,20.75
29.15,21.00
29.36,21.00
29.56,20.75
29.77,20.25
29.97,20.75
30.18,21.00
30.38,20.50
30.59,21.00
30.79,21.50
30.99,20.75
31.20,21.00
31.40,20.50
31.61,20.75
31.81,21.00
32.02,21.00
32.22,20.75
32.42,20.50
32.62,20.75
32.83,21.00
33.03,20.50
33.23,20.50
33.44,20.75
33.64,20.50
33.84,21.00
34.05,20.75
34.25,21.00
34.45,21.00
34.67,21.00
34.87,21.00
35.07,20.75
35.28,21.25
35.48,21.00
35.68,21.00
35.89,21.00
36.09,21.25
36.29,20.50
36.50,21.00
36.70,21.00
36.90,21.00
37.11,20.75
37.31,21.25
37.51,21.00
37.72,21.00
37.92,21.00
38.13,21.25
38.33,21.00
38.54,21.00
38.74,21.00
38.94,21.00
39.15,21.00
39.35,21.00
39.56,20.75
39.76,21.00
39.97,21.00
40.17,21.00
40.37,20.50
40.58,21.00
40.78,21.00
40.99,21.00
41.19,21.00
41.40,21.00
41.60,21.00
41.80,20.75
42.01,20.75
42.21,21.00
42.41,20.50
42.61,20.75
42.82,20.75
43.02,21.00
43.23,21.25
43.43,21.00
43.64,21.00
43.84,20.75
44.04,21.00
44.25,21.00
44.45,21.00
44.65,20.50
44.87,21.00
45.07,21.00
45.28,20.50
45.48,21.00
45.68,21.00
45.89,21.00
46.09,21.00
46.29,21.00
46.50,21.00
46.70,21.00
46.91,21.00
47.11,21.00
47.31,20.50
47.51,20.75
47.72,21.00
